,track_name,textual,numerical
158,In the End,Linkin Park Alternative In the End,5.357099999999999
159,All Summer Long,Kid Rock Alternative All Summer Long,4.770099999999999
160,Goodie Bag,Still Woozy Alternative Goodie Bag,6.0351300000000005
161,Semi-Charmed Life,Third Eye Blind Alternative Semi-Charmed Life,4.48982
162,Bring Me To Life,Evanescence Alternative Bring Me To Life,5.8619518500000005
163,NO FUN,Joji Alternative NO FUN,5.0017000000000005
164,Pretty Little Fears (feat. J. Cole),6LACK Alternative Pretty Little Fears (feat. J. Cole),4.999963999999999
165,Everlong,Foo Fighters Alternative Everlong,5.2557696
166,Come As You Are,Nirvana Alternative Come As You Are,5.065729999999999
167,No Rain,Blind Melon Alternative No Rain,4.520650900000001
168,Black Hole Sun,Soundgarden Alternative Black Hole Sun,3.7076724999999997
169,Kryptonite,3 Doors Down Alternative Kryptonite,5.3492512
170,Seven Nation Army,The White Stripes Alternative Seven Nation Army,4.455369999999999
171,Electric Feel,MGMT Alternative Electric Feel,5.075399999999999
172,Somebody Else,The 1975 Alternative Somebody Else,4.4408
173,MY POWER,Tierra Whack Alternative MY POWER,4.429900000000001
174,Numb,Linkin Park Alternative Numb,4.6747000000000005
175,Chop Suey!,System Of A Down Alternative Chop Suey!,5.355778
176,Monster,Skillet Alternative Monster,4.7311000000000005
177,Nights,Frank Ocean Alternative Nights,5.15300101
178,Thinkin Bout You,Frank Ocean Alternative Thinkin Bout You,3.78674
179,Stacy's Mom,Fountains Of Wayne Alternative Stacy's Mom,5.7262185
180,Unsteady,X Ambassadors Alternative Unsteady,3.818132
181,Blood // Water,grandson Alternative Blood // Water,5.4766200000000005
182,Tadow,Masego Alternative Tadow,5.559486399999999
183,Island In The Sun,Weezer Alternative Island In The Sun,5.5245
184,Ivy,Frank Ocean Alternative Ivy,5.549709
185,Californication,Red Hot Chili Peppers Alternative Californication,5.29675
186,Habit,Still Woozy Alternative Habit,3.9947000000000004
187,Unsainted,Slipknot Alternative Unsainted,4.043097
188,Clint Eastwood,Gorillaz Alternative Clint Eastwood,5.2747
189,Closing Time,Semisonic Alternative Closing Time,3.6527017099999997
190,Last Resort,Papa Roach Alternative Last Resort,5.648601
191,Chanel,Frank Ocean Alternative Chanel,6.12
192,Hail to the King,Avenged Sevenfold Alternative Hail to the King,5.630376
193,Mr. Jones,Counting Crows Alternative Mr. Jones,5.108201419999999
194,Killing In The Name,Rage Against The Machine Alternative Killing In The Name,4.5523
195,Headstrong,Trapt Alternative Headstrong,5.70017478
196,Can't Stop,Red Hot Chili Peppers Alternative Can't Stop,4.980499999999999
197,Dancing in the Moonlight - 2001 Remix,Toploader Alternative Dancing in the Moonlight - 2001 Remix,4.75720424
198,Will He,Joji Alternative Will He,4.160863
199,The Sound of Silence,Disturbed Alternative The Sound of Silence,4.2391011
200,ATTENTION,Joji Alternative ATTENTION,4.4437
201,Pink + White,Frank Ocean Alternative Pink + White,5.192145700000001
202,Snow (Hey Oh),Red Hot Chili Peppers Alternative Snow (Hey Oh),4.6604116
203,Zombie,Bad Wolves Alternative Zombie,4.537459999999999
204,Rockstar,Nickelback Alternative Rockstar,4.7085
205,Wish I Knew You,The Revivalists Alternative Wish I Knew You,5.282399999999999
206,Creep,Radiohead Alternative Creep,3.421241
207,Electric (feat. Khalid),Alina Baraz Alternative Electric (feat. Khalid),4.9382219
208,Sativa,Jhene Aiko Alternative Sativa,6.0771999999999995
209,Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink Alternative Crew (feat. Brent Faiyaz & Shy Glizzy),5.162400000000001
210,Bad Company,Five Finger Death Punch Alternative Bad Company,4.674893399999999
211,Man in the Box,Alice In Chains Alternative Man in the Box,3.89859754
212,"You're Gonna Go Far, Kid","The Offspring Alternative You're Gonna Go Far, Kid",4.64821
213,How You Remind Me,Nickelback Alternative How You Remind Me,4.4883500000000005
214,Start a Riot,Duckwrth Alternative Start a Riot,4.817
215,Way Down We Go,KALEO Alternative Way Down We Go,5.517333
216,Drive,Incubus Alternative Drive,5.1613
217,Sex & Candy,Marcy Playground Alternative Sex & Candy,3.7851000000000004
218,The Pretender,Foo Fighters Alternative The Pretender,4.400017
219,Easy - Remix,DaniLeigh Alternative Easy - Remix,3.9696
220,Self Control,Frank Ocean Alternative Self Control,4.1433
221,Fake It,Seether Alternative Fake It,4.47771304
222,Losing My Religion,R.E.M. Alternative Losing My Religion,6.150099999999999
223,The Red,Chevelle Alternative The Red,5.149273999999999
224,Dani California,Red Hot Chili Peppers Alternative Dani California,5.620910500000001
225,Iris,The Goo Goo Dolls Alternative Iris,5.14965797
226,Floating (feat. Khalid),Alina Baraz Alternative Floating (feat. Khalid),5.37620215
