,book_title,text,numerical
185,mila 2.0,debradriza youngadult sciencefiction mila 2.0,1.214
186,the 5th wave,rickyancey youngadult sciencefiction the 5th wave,1.6164999999999998
187,the bitter kingdom,raecarson fantasy youngadult the bitter kingdom,1.7029999999999998
188,the madman’s daughter,meganshepherd youngadult historical the madman’s daughter,1.236
189,let the sky fall,shannonmessenger youngadult fantasy let the sky fall,1.7885
190,with all my soul,rachelvincent youngadult fantasy with all my soul,1.802
191,the archived,victoriaschwab fantasy youngadult the archived,1.6625
192,champion,marielu sciencefiction youngadult champion,1.9260000000000002
193,etiquette & espionage,gailcarriger youngadult sciencefiction etiquette & espionage,1.4395000000000002
194,shadows in the silence,courtneyallisonmoulton paranormal youngadult shadows in the silence,1.786
195,dark triumph,robinlafevers fantasy youngadult dark triumph,1.669
196,the moon and more,sarahdessen youngadult contemporary the moon and more,1.333
197,the essence,kimberlyderting sciencefiction fantasy the essence,1.359
198,sweet peril,wendyhiggins youngadult fantasy sweet peril,1.8505
199,the program,suzanneyoung youngadult sciencefiction the program,1.6215000000000002
200,asunder,jodimeadows fantasy youngadult asunder,1.5165
201,splintered,a.g.howard fantasy youngadult splintered,1.548
202,the goddess inheritance,aimeecarter fantasy youngadult the goddess inheritance,1.5055
203,just one day,gayleforman youngadult romance just one day,1.5605
204,united we spy,allycarter youngadult mystery united we spy,1.8935
205,shadowhunters and downworlders: a mortal instruments reader,cassandraclare fantasy youngadult shadowhunters and downworlders: a mortal instruments reader,1.5325000000000002
206,everbound,brodiashton youngadult fantasy everbound,1.5595000000000003
207,if i should die,amyplum youngadult fantasy if i should die,1.7309999999999999
208,siege and storm,leighbardugo fantasy youngadult siege and storm,1.7525
209,the rising,kelleyarmstrong youngadult fantasy the rising,1.7065
210,crown of midnight,sarahj.maas fantasy youngadult crown of midnight,2.1159999999999997
211,goddess,josephineangelini fantasy fantasy goddess,1.803
212,light,michaelgrant youngadult sciencefiction light,1.8375000000000001
213,requiem,laurenoliver youngadult sciencefiction requiem,1.348
214,sever,laurendestefano sciencefiction youngadult sever,1.3265000000000002
215,through the ever night,veronicarossi sciencefiction youngadult through the ever night,1.7165
216,boundless,cynthiahand youngadult paranormal boundless,1.708
217,allegiant,veronicaroth youngadult sciencefiction allegiant,1.3780000000000001
218,dearest,aletheakontis fantasy youngadult dearest,1.4045
219,dumplin',juliemurphy youngadult contemporary dumplin',1.414
220,none of the above,i.w.gregorio youngadult lgbt none of the above,1.4409999999999998
221,under a painted sky,staceylee historical youngadult under a painted sky,1.547
222,the vanishing throne,elizabethmay fantasy youngadult the vanishing throne,1.6375
223,a book of spirits and thieves,morganrhodes fantasy youngadult a book of spirits and thieves,1.6015000000000001
224,mechanica,betsycornwell fantasy sciencefiction mechanica,1.0875
225,the summer of chasing mermaids,sarahockler youngadult contemporary the summer of chasing mermaids,1.38
226,vendetta,catherinedoyle youngadult romance vendetta,1.7440000000000002
227,things we know by heart,jessikirby youngadult contemporary things we know by heart,1.4655
228,rook,sharoncameron youngadult sciencefiction rook,1.347
229,reawakened,colleenhouck fantasy youngadult reawakened,1.589
230,the storyspinner,beckywallace fantasy youngadult the storyspinner,1.369
231,the immortal heights,sherrythomas fantasy youngadult the immortal heights,1.5984999999999998
232,the walls around us,novarensuma youngadult mystery the walls around us,1.224
233,a wicked thing,rhiannonthomas fantasy youngadult a wicked thing,0.8325
234,daughter of deep silence,carrieryan youngadult mystery daughter of deep silence,1.2334999999999998
235,the start of me and you,emerylord youngadult contemporary the start of me and you,1.6019999999999999
236,ink and bone,rachelcaine fantasy youngadult ink and bone,1.6015000000000001
237,another day,davidlevithan youngadult romance another day,1.2309999999999999
238,made you up,francescazappia youngadult contemporary made you up,1.7355
239,hidden huntress,daniellel.jensen fantasy youngadult hidden huntress,1.464
240,stand-off,andrewsmith youngadult contemporary stand-off,1.6755
241,i'll meet you there,heatherdemetrios youngadult contemporary i'll meet you there,1.5935000000000001
242,the rest of us just live here,patrickness youngadult fantasy the rest of us just live here,1.472
243,the witch hunter,virginiaboecker fantasy youngadult the witch hunter,1.3555000000000001
244,the conspiracy of us,maggiehall youngadult mystery the conspiracy of us,1.4065
245,ignite,sarab.larson fantasy youngadult ignite,1.441
246,dead of winter,kresleycole youngadult fantasy dead of winter,1.9575
247,all the rage,courtneysummers youngadult contemporary all the rage,1.426
248,magonia,mariadahvanaheadley fantasy youngadult magonia,1.096
249,the sin eater’s daughter,melindasalisbury fantasy youngadult the sin eater’s daughter,1.03
250,frostfire,amandahocking fantasy youngadult frostfire,1.4369999999999998
251,lair of dreams,libbabray youngadult fantasy lair of dreams,1.5705
252,the girl at midnight,melissagrey fantasy youngadult the girl at midnight,1.264
253,"liars, inc.","paulastokes youngadult mystery liars, inc.",1.1640000000000001
254,invaded,melissalanders youngadult sciencefiction invaded,1.4935
255,my heart and other black holes,jasminewarga youngadult contemporary my heart and other black holes,1.5775000000000001
256,shadow scale,rachelhartman fantasy youngadult shadow scale,1.371
257,ice like fire,sararaasch fantasy youngadult ice like fire,1.3735
258,all the bright places,jenniferniven youngadult contemporary all the bright places,1.7625000000000002
259,the wrath and the dawn,renéeahdieh fantasy youngadult the wrath and the dawn,1.7165
260,carry on,rainbowrowell fantasy youngadult carry on,1.7385
261,the winner's crime,marierutkoski fantasy youngadult the winner's crime,1.7309999999999999
262,red queen,victoriaaveyard fantasy youngadult red queen,1.6225
263,gone girl,gillianflynn fiction mystery gone girl,1.6215000000000002
264,prophecy of the sisters,michellezink fantasy youngadult prophecy of the sisters,1.0825
265,feed,miragrant horror horror feed,1.4505
266,bitterblue,kristincashore fantasy youngadult bitterblue,1.6285
267,mind games,carolyncrane fantasy fantasy mind games,1.0835
268,on the edge,ilonaandrews fantasy fantasy on the edge,1.7610000000000001
269,unholy ghosts,staciakane fantasy fantasy unholy ghosts,1.299
270,kushiel's dart,jacquelinecarey fantasy romance kushiel's dart,1.6710000000000003
271,the dark divine,breedespain youngadult fantasy the dark divine,1.4285
272,north of beautiful,justinachen youngadult romance north of beautiful,1.4615
273,birthmarked,caraghm.o'brien youngadult sciencefiction birthmarked,1.43
274,the unbecoming of mara dyer,michellehodkin youngadult fantasy the unbecoming of mara dyer,1.7014999999999998
275,incarceron,catherinefisher fantasy youngadult incarceron,1.158
276,stolen: a letter to my captor,lucychristopher youngadult contemporary stolen: a letter to my captor,1.4740000000000002
277,the v girl,myarobarts romance youngadult the v girl,1.5885
278,strange angels,lilist.crow fantasy youngadult strange angels,1.432
279,firelight,sophiejordan fantasy youngadult firelight,1.4055
280,princess academy,shannonhale fantasy youngadult princess academy,1.5615
281,anna and the french kiss,stephanieperkins youngadult romance anna and the french kiss,1.5910000000000002
282,beautiful disaster,jamiemcguire romance newadult beautiful disaster,1.7294999999999998
283,ella enchanted,gailcarsonlevine fantasy youngadult ella enchanted,1.519
284,shiver,maggiestiefvater youngadult fantasy shiver,1.4135
285,i am number four,pittacuslore youngadult fantasy i am number four,1.588
286,this side of the grave,jeanienefrost paranormal fantasy this side of the grave,1.8785
287,the stress of her regard,timpowers fantasy horror the stress of her regard,1.359
288,smoke and shadows,tanyahuff fantasy fantasy smoke and shadows,1.358
289,bitten & smitten,michellerowen paranormal fantasy bitten & smitten,1.405
290,live girls,raygarton horror paranormal live girls,1.4055
291,circus of the damned,laurellk.hamilton fantasy paranormal circus of the damned,1.6764999999999999
292,black sun rising,c.s.friedman fantasy sciencefiction black sun rising,1.5310000000000001
293,real vampires have curves,gerrybartlett paranormal fantasy real vampires have curves,1.4735
294,dark dance,tanithlee horror paranormal dark dance,1.3370000000000002
295,fated,rebeccazanetti fantasy romance fated,1.6440000000000001
296,the vampire queen's servant,joeyw.hill paranormal erotica the vampire queen's servant,1.4635
297,the light at the end,johnskipp horror paranormal the light at the end,1.4140000000000001
298,night pleasures,sherrilynkenyon fantasy romance night pleasures,1.8515
299,draculas,blakecrouch horror paranormal draculas,1.4895
300,minion,l.a.banks paranormal fantasy minion,1.1915
301,vampire hunter d,hideyukikikuchi fantasy horror vampire hunter d,1.575
302,a hidden fire,elizabethhunter fantasy romance a hidden fire,1.733
303,morrigan's cross,noraroberts romance fantasy morrigan's cross,1.714
304,skinwalker,faithhunter fantasy fantasy skinwalker,1.589
305,the traveling vampire show,richardlaymon horror paranormal the traveling vampire show,1.3655
306,13 bullets,davidwellington horror paranormal 13 bullets,1.169
307,nightwalker,jocelynndrake fantasy paranormal nightwalker,1.365
308,vampire$,johnsteakley horror paranormal vampire$,1.4575
309,children of the night,dansimmons horror paranormal children of the night,1.4245
310,those who hunt the night,barbarahambly fantasy horror those who hunt the night,1.431
311,sunglasses after dark,nancya.collins horror paranormal sunglasses after dark,1.4834999999999998
312,if angels burn,lynnviehl romance paranormal if angels burn,1.3904999999999998
313,dhampir,barbhendee fantasy paranormal dhampir,1.3945
