,original_title,cast,director,keywords,genres,imdb_id,final_numeric_weights,text
8612,hard eight,philipbakerhall gwynethpaltrow johnc.reilly samuell.jackson f.williamparker,paulthomasanderson,gambling prostitute casino cheating blackmail,drama thriller,tt0119256,0.359,philipbakerhall gwynethpaltrow johnc.reilly samuell.jackson f.williamparkerpaulthomasandersondrama thrillergambling prostitute casino cheating blackmail
8658,il ciclone,leonardopieraccioni lorenaforteza barbaraenrichi massimoceccherini sergioforconi,leonardopieraccioni,nan,drama comedy romance foreign,tt0115899,0.349,leonardopieraccioni lorenaforteza barbaraenrichi massimoceccherini sergioforconileonardopieraccionidrama comedy romance foreignnan
8661,gladiator,russellcrowe joaquinphoenix connienielsen oliverreed richardharris,ridleyscott,rome gladiator romanempire slavery battlefield,action drama adventure,tt0172495,1.056,russellcrowe joaquinphoenix connienielsen oliverreed richardharrisridleyscottaction drama adventurerome gladiator romanempire slavery battlefield
8662,memento,guypearce carrie-annemoss joepantoliano markboonejunior russfega,christophernolan,individual insulin tattoo waitress amnesia,mystery thriller,tt0209144,0.994,guypearce carrie-annemoss joepantoliano markboonejunior russfegachristophernolanmystery thrillerindividual insulin tattoo waitress amnesia
8663,how the grinch stole christmas,jimcarrey taylormomsen jeffreytambor christinebaranski billirwin,ronhoward,holiday christmasparty newlove santaclaus village,family comedy fantasy,tt0170016,0.305,jimcarrey taylormomsen jeffreytambor christinebaranski billirwinronhowardfamily comedy fantasyholiday christmasparty newlove santaclaus village
8664,cast away,tomhanks helenhunt chrisnoth paulsanchez lariwhite,robertzemeckis,exoticisland suicideattempt volleyball loneliness planecrash,adventure drama,tt0162222,0.8220000000000001,tomhanks helenhunt chrisnoth paulsanchez lariwhiterobertzemeckisadventure dramaexoticisland suicideattempt volleyball loneliness planecrash
8665,snatch,jasonstatham bradpitt vinniejones dennisfarina beniciodeltoro,guyritchie,gypsy bareknuckleboxing slang trailerpark pig,thriller crime,tt0208092,0.813,jasonstatham bradpitt vinniejones dennisfarina beniciodeltoroguyritchiethriller crimegypsy bareknuckleboxing slang trailerpark pig
8669,the emperor's new groove,davidspade johngoodman earthakitt patrickwarburton wendiemalick,markdindal,centralandsouthamerica birthday emperor palace kingdom,adventure animation comedy family fantasy,tt0120917,0.55,davidspade johngoodman earthakitt patrickwarburton wendiemalickmarkdindaladventure animation comedy family fantasycentralandsouthamerica birthday emperor palace kingdom
8671,dinosaur,d.b.sweeney alfrewoodard ossiedavis maxcasella haydenpanettiere,ralphzondag ericleighton,cataclysm asteroid leader comet animation,animation family,tt0130623,0.266,d.b.sweeney alfrewoodard ossiedavis maxcasella haydenpanettiereralphzondag ericleightonanimation familycataclysm asteroid leader comet animation
8673,chicken run,melgibson mirandarichardson timothyspall imeldastaunton janehorrocks,peterlord nickpark,chicken freedom escape chickenfarm piemachine,animation comedy family,tt0120630,0.33,melgibson mirandarichardson timothyspall imeldastaunton janehorrockspeterlord nickparkanimation comedy familychicken freedom escape chickenfarm piemachine
