,original_title,cast,director,keywords,genres,imdb_id,final_numeric_weights,text
1530,an education,careymulligan oliviawilliams petersarsgaard alfredmolina caraseymour,lonescherfig,agedifference self-discovery comingofage loveaffair youth,drama romance,tt1174732,0.45599999999999996,careymulligan oliviawilliams petersarsgaard alfredmolina caraseymourlonescherfigdrama romanceagedifference self-discovery comingofage loveaffair youth
1533,up in the air,georgeclooney verafarmiga annakendrick jasonbateman melanielynskey,jasonreitman,suitcase business omaha ontheroad downsizing,drama romance,tt1193138,0.41300000000000003,georgeclooney verafarmiga annakendrick jasonbateman melanielynskeyjasonreitmandrama romancesuitcase business omaha ontheroad downsizing
1536,triangle,melissageorge liamhemsworth emmalung rachaelcarpani michaeldorman,christophersmith,ocean florida key yacht ax,horror,tt1187064,0.529,melissageorge liamhemsworth emmalung rachaelcarpani michaeldormanchristophersmithhorrorocean florida key yacht ax
1539,fast & furious,vindiesel paulwalker jordanabrewster michellerodriguez johnortiz,justinlin,gambling brothersisterrelationship ex-lover fast cops,action crime drama thriller,tt1013752,0.377,vindiesel paulwalker jordanabrewster michellerodriguez johnortizjustinlinaction crime drama thrillergambling brothersisterrelationship ex-lover fast cops
1542,capitalism: a love story,michaelmoore thorabirch williamblack elijahcummings baronhill,michaelmoore,usa capitalism capitalist wallstreet criticismandblame,documentary,tt1232207,0.48900000000000005,michaelmoore thorabirch williamblack elijahcummings baronhillmichaelmooredocumentaryusa capitalism capitalist wallstreet criticismandblame
1545,che: part two,beniciodeltoro catalinasandinomoreno frankapotente demiã¡nbichir ã“scarjaenada,stevensoderbergh,biography cheguevara bolivianarmy lapazbolivia,drama history war,tt0374569,0.268,beniciodeltoro catalinasandinomoreno frankapotente demiã¡nbichir ã“scarjaenadastevensoderberghdrama history warbiography cheguevara bolivianarmy lapazbolivia
1556,adam,hughdancy rosebyrne petergallagher amyirving frankiefaison,maxmayer,children'sbook asperger'ssyndrome electricalengineer asperger's,drama romance,tt1185836,0.44899999999999995,hughdancy rosebyrne petergallagher amyirving frankiefaisonmaxmayerdrama romancechildren'sbook asperger'ssyndrome electricalengineer asperger's
1558,the collector,joshstewart michaelreillyburke andrearoth juanfernã¡ndez madelinezima,marcusdunstan,sadistic cat burglar fight stripclub,horror thriller,tt0844479,0.2,joshstewart michaelreillyburke andrearoth juanfernã¡ndez madelinezimamarcusdunstanhorror thrillersadistic cat burglar fight stripclub
1565,cracks,evagreen junotemple marã­avalverde imogenpoots ellienunn,jordanscott,england basedonnovel nightmare uniform murder,drama mystery thriller,tt1183665,0.32300000000000006,evagreen junotemple marã­avalverde imogenpoots ellienunnjordanscottdrama mystery thrillerengland basedonnovel nightmare uniform murder
1568,the disappearance of alice creed,gemmaarterton martincompston eddiemarsan,jblakeson,sex bondage ransom father rich,crime drama thriller,tt1379177,0.23800000000000004,gemmaarterton martincompston eddiemarsanjblakesoncrime drama thrillersex bondage ransom father rich
1571,superman/batman: public enemies,kevinconroy timdaly clancybrown levarburton xanderberkeley,samliu,superhero superpowers superhumanstrength lexluthor powergirl,animation action adventure,tt1398941,0.447,kevinconroy timdaly clancybrown levarburton xanderberkeleysamliuanimation action adventuresuperhero superpowers superhumanstrength lexluthor powergirl
1576,wonder woman,kerirussell nathanfillion alfredmolina rosariodawson virginiamadsen,laurenmontgomery,dccomics basedoncomicbook superpowers womandirector,action adventure animation sciencefiction,tt1186373,0.6130000000000001,kerirussell nathanfillion alfredmolina rosariodawson virginiamadsenlaurenmontgomeryaction adventure animation sciencefictiondccomics basedoncomicbook superpowers womandirector
1577,bright star,abbiecornish benwhishaw paulschneider kerryfox ediemartin,janecampion,poet independentfilm duringcreditsstinger womandirector,drama romance,tt0810784,0.23700000000000004,abbiecornish benwhishaw paulschneider kerryfox ediemartinjanecampiondrama romancepoet independentfilm duringcreditsstinger womandirector
1582,adventureland,jesseeisenberg kristenstewart martinstarr kristenwiig billhader,gregmottola,comedy cheatingonpartner amusementpark summerjob carny,comedy,tt1091722,0.241,jesseeisenberg kristenstewart martinstarr kristenwiig billhadergregmottolacomedycomedy cheatingonpartner amusementpark summerjob carny
1585,defendor,woodyharrelson katdennings eliaskoteas sandraoh clarkjohnson,peterstebbings,crimefighter delusion superhero,drama action comedy crime,tt1303828,0.23600000000000004,woodyharrelson katdennings eliaskoteas sandraoh clarkjohnsonpeterstebbingsdrama action comedy crimecrimefighter delusion superhero
1590,the messenger,benfoster woodyharrelson jenamalone eamonnwalker samanthamorton,orenmoverman,independentfilm wounded soldier iraqwar,drama history,tt0790712,0.48500000000000004,benfoster woodyharrelson jenamalone eamonnwalker samanthamortonorenmovermandrama historyindependentfilm wounded soldier iraqwar
1593,away we go,johnkrasinski mayarudolph carmenejogo catherineo'hara jeffdaniels,sammendes,interracialrelationship deadfather referencetobobdylan biracial bedtimestory,drama comedy romance,tt1176740,0.361,johnkrasinski mayarudolph carmenejogo catherineo'hara jeffdanielssammendesdrama comedy romanceinterracialrelationship deadfather referencetobobdylan biracial bedtimestory
1595,my sister's keeper,camerondiaz alecbaldwin abigailbreslin joancusack sofiavassilieva,nickcassavetes,parentskidsrelationship sistersisterrelationship courtcase invitrofertilisation medicalexaminer,drama,tt1078588,0.551,camerondiaz alecbaldwin abigailbreslin joancusack sofiavassilievanickcassavetesdramaparentskidsrelationship sistersisterrelationship courtcase invitrofertilisation medicalexaminer
1598,the cove,joechisholm mandy-raecruikshank charleshambleton simonhutchins kirkkrack,louiepsihoyos,japan ocean dolphin nationalism suffering,documentary,tt1313104,0.904,joechisholm mandy-raecruikshank charleshambleton simonhutchins kirkkracklouiepsihoyosdocumentaryjapan ocean dolphin nationalism suffering
1599,the soloist,robertdowneyjr. jamiefoxx catherinekeener nelsanellis michaelbunin,joewright,newspaper cello musical violin losangeles,drama,tt0821642,0.31100000000000005,robertdowneyjr. jamiefoxx catherinekeener nelsanellis michaelbuninjoewrightdramanewspaper cello musical violin losangeles
1600,"family guy presents: something, something, something, dark side",sethmacfarlane alexborstein sethgreen milakunis h.jonbenjamin,dominicpolcino,sex spaceship crudehumor jedi darkside,sciencefiction animation comedy,tt1329665,0.6110000000000001,sethmacfarlane alexborstein sethgreen milakunis h.jonbenjamindominicpolcinosciencefiction animation comedysex spaceship crudehumor jedi darkside
1604,the last house on the left,tonygoldwyn monicapotter sarapaxton marthamacisaac spencertreatclark,dennisiliadis,rapeandrevenge,crime thriller horror drama,tt0844708,0.15300000000000002,tonygoldwyn monicapotter sarapaxton marthamacisaac spencertreatclarkdennisiliadiscrime thriller horror dramarapeandrevenge
1607,harry brown,michaelcaine emilymortimer iainglen leeoakes liamcunningham,danielbarber,self-defense widower,thriller crime drama action,tt1289406,0.362,michaelcaine emilymortimer iainglen leeoakes liamcunninghamdanielbarberthriller crime drama actionself-defense widower
1610,blood and bone,michaeljaiwhite juliansands eamonnwalker dantebasco nonagaye,benramsey,tournament kick kickedintheleg prisonfight,drama action thriller,tt0346631,0.48500000000000004,michaeljaiwhite juliansands eamonnwalker dantebasco nonagayebenramseydrama action thrillertournament kick kickedintheleg prisonfight
1617,exam,lukemably adarbeck chriscarey gemmachan nathaliecox,stuarthazeldine,gun room suspicion guard pill,thriller mystery,tt1258197,0.361,lukemably adarbeck chriscarey gemmachan nathaliecoxstuarthazeldinethriller mysterygun room suspicion guard pill
1625,whip it,ellenpage landonpigg drewbarrymore sarahhabel shannoneagen,drewbarrymore,sport rollerderby duringcreditsstinger womandirector,drama,tt1172233,0.36,ellenpage landonpigg drewbarrymore sarahhabel shannoneagendrewbarrymoredramasport rollerderby duringcreditsstinger womandirector
1628,in the loop,petercapaldi tomhollander ginamckee jamesgandolfini chrisaddison,armandoiannucci,washingtond.c. war politicalincompetence warmongering unitednations,comedy,tt1226774,0.321,petercapaldi tomhollander ginamckee jamesgandolfini chrisaddisonarmandoiannuccicomedywashingtond.c. war politicalincompetence warmongering unitednations
1629,michael jackson's this is it,michaeljackson orianthi kennyortega dorianholley patrickwoodroffe,kennyortega,popstar music concert aftercreditsstinger duringcreditsstinger,music documentary,tt1477715,0.33999999999999997,michaeljackson orianthi kennyortega dorianholley patrickwoodroffekennyortegamusic documentarypopstar music concert aftercreditsstinger duringcreditsstinger
1644,x-men origins: wolverine,hughjackman lievschreiber dannyhuston lynncollins ryanreynolds,gavinhood,corruption mutant boxer army marvelcomic,adventure action thriller sciencefiction,tt0458525,0.259,hughjackman lievschreiber dannyhuston lynncollins ryanreynoldsgavinhoodadventure action thriller sciencefictioncorruption mutant boxer army marvelcomic
1649,prison break: the final break,wentworthmiller sarahwaynecallies dominicpurcell jodilyno'keefe amaurynolasco,kevinhooks bradturner,nan,action drama thriller,tt1131748,0.777,wentworthmiller sarahwaynecallies dominicpurcell jodilyno'keefe amaurynolascokevinhooks bradturneraction drama thrillernan
1653,black dynamite,michaeljaiwhite arseniohall tommydavidson kevinchapman richardedson,scottsanders,blackpeople blaxploitation spoof duringcreditsstinger,action comedy,tt1190536,0.6920000000000001,michaeljaiwhite arseniohall tommydavidson kevinchapman richardedsonscottsandersaction comedyblackpeople blaxploitation spoof duringcreditsstinger
1655,city island,andygarcã­a juliannamargulies stevenstrait dominikgarcã­a-lorido ezramiller,raymonddefelitta,secret fetishism stripper familysecrets convict,drama comedy,tt1174730,0.23400000000000004,andygarcã­a juliannamargulies stevenstrait dominikgarcã­a-lorido ezramillerraymonddefelittadrama comedysecret fetishism stripper familysecrets convict
1657,the secret of kells,evanmcguire brendangleeson liamhourican micklally michaelmcgrath,tommmoore noratwomey,barbarian underwater trapped seamonster womandirector,animation family fantasy,tt0485601,0.568,evanmcguire brendangleeson liamhourican micklally michaelmcgrathtommmoore noratwomeyanimation family fantasybarbarian underwater trapped seamonster womandirector
1661,partly cloudy,tonyfucile loririchardson,petersohn,americanfootball baby cloud alligator eel,adventure animation comedy family fantasy,tt1425244,0.901,tonyfucile loririchardsonpetersohnadventure animation comedy family fantasyamericanfootball baby cloud alligator eel
1670,baarã¬a,francescoscianna margarethmadã¨ raoulbova giorgiofaletti leogullotta,giuseppetornatore,sicily fascism mafia communism,drama comedy,tt1081935,0.464,francescoscianna margarethmadã¨ raoulbova giorgiofaletti leogullottagiuseppetornatoredrama comedysicily fascism mafia communism
1711,nowhere boy,aarontaylor-johnson kristinscottthomas davidmorrissey anne-marieduff sambell,samtaylor-johnson,musical crying darkpast kidnappingattempt referencetotchaikovsky,drama,tt1266029,0.48200000000000004,aarontaylor-johnson kristinscottthomas davidmorrissey anne-marieduff sambellsamtaylor-johnsondramamusical crying darkpast kidnappingattempt referencetotchaikovsky
1712,prayers for bobby,ryankelley sigourneyweaver henryczerny danbutler austinnichols,russellmulcahy,nan,nan,tt1073510,0.6910000000000001,ryankelley sigourneyweaver henryczerny danbutler austinnicholsrussellmulcahynannan
1721,princess protection program,selenagomez demilovato jamiechung nicholasbraun keving.schmidt,allisonliddi-brown,secretidentity island monarchy highschool princess,comedy drama family,tt1196339,0.14900000000000002,selenagomez demilovato jamiechung nicholasbraun keving.schmidtallisonliddi-browncomedy drama familysecretidentity island monarchy highschool princess
1734,world's greatest dad,robinwilliams alexiegilmore darylsabara geoffpierson henrysimmons,bobcatgoldthwait,malenudity poetry adolescence lie nudity,comedy romance,tt1262981,0.22800000000000004,robinwilliams alexiegilmore darylsabara geoffpierson henrysimmonsbobcatgoldthwaitcomedy romancemalenudity poetry adolescence lie nudity
1754,frequently asked questions about time travel,chriso'dowd deanlennoxkelly annafaris meredithmacneill marcwootton,garethcarrivick,timetravel pub,drama comedy sciencefiction romance,tt0910554,0.565,chriso'dowd deanlennoxkelly annafaris meredithmacneill marcwoottongarethcarrivickdrama comedy sciencefiction romancetimetravel pub
1769,notorious,jamalwoolard derekluke naturinaughton antoniquesmith angelabassett,"georgetillman,jr.",musical rapmusic boombox rapping crackaddict,drama music,tt0472198,0.369,"jamalwoolard derekluke naturinaughton antoniquesmith angelabassettgeorgetillman,jr.drama musicmusical rapmusic boombox rapping crackaddict"
1770,the loved ones,xaviersamuel jessicamcnamee robinmcleavy victoriathaine johnbrumpton,seanbyrne,killing highschool femalekiller revenge prom,horror,tt1316536,0.23000000000000004,xaviersamuel jessicamcnamee robinmcleavy victoriathaine johnbrumptonseanbyrnehorrorkilling highschool femalekiller revenge prom
1771,everybody's fine,robertdeniro drewbarrymore katebeckinsale samrockwell melissaleo,kirkjones,familyrelationships doctor retired visit widower,drama,tt0780511,0.30700000000000005,robertdeniro drewbarrymore katebeckinsale samrockwell melissaleokirkjonesdramafamilyrelationships doctor retired visit widower
1774,crazy heart,jeffbridges maggiegyllenhaal colinfarrell robertduvall paulherman,scottcooper,taxi countrymusic journalist guitar bar,drama music romance,tt1263670,0.28300000000000003,jeffbridges maggiegyllenhaal colinfarrell robertduvall paulhermanscottcooperdrama music romancetaxi countrymusic journalist guitar bar
1813,futurama: into the wild green yonder,billywest kateysagal johndimaggio laurentom phillamarr,peteravanzino,megaphone feminism future wormhole alienlife-form,animation comedy,tt1054487,0.564,billywest kateysagal johndimaggio laurentom phillamarrpeteravanzinoanimation comedymegaphone feminism future wormhole alienlife-form
1877,the damned united,colmmeaney henrygoodman michaelsheen timothyspall jimbroadbent,tomhooper,england leedsunited sport brighton soccer,drama,tt1226271,0.5630000000000001,colmmeaney henrygoodman michaelsheen timothyspall jimbroadbenttomhooperdramaengland leedsunited sport brighton soccer
1919,inception,leonardodicaprio josephgordon-levitt ellenpage tomhardy kenwatanabe,christophernolan,lossoflover dream sleep subconsciousness heist,action thriller sciencefiction mystery adventure,tt1375666,1.399,leonardodicaprio josephgordon-levitt ellenpage tomhardy kenwatanabechristophernolanaction thriller sciencefiction mystery adventurelossoflover dream sleep subconsciousness heist
1920,iron man 2,robertdowneyjr. gwynethpaltrow doncheadle scarlettjohansson mickeyrourke,jonfavreau,malibu marvelcomic comic superhero revenge,adventure action sciencefiction,tt1228705,0.6639999999999999,robertdowneyjr. gwynethpaltrow doncheadle scarlettjohansson mickeyrourkejonfavreauadventure action sciencefictionmalibu marvelcomic comic superhero revenge
1921,alice in wonderland,miawasikowska johnnydepp annehathaway helenabonhamcarter crispinglover,timburton,basedonnovel fictionalplace queen aliceinwonderland fantastic,family fantasy adventure,tt1014759,0.671,miawasikowska johnnydepp annehathaway helenabonhamcarter crispinglovertimburtonfamily fantasy adventurebasedonnovel fictionalplace queen aliceinwonderland fantastic
1922,black swan,natalieportman milakunis vincentcassel barbarahershey winonaryder,darrenaronofsky,competition taxi dancer obsession paranoia,drama mystery thriller,tt0947798,0.8230000000000001,natalieportman milakunis vincentcassel barbarahershey winonaryderdarrenaronofskydrama mystery thrillercompetition taxi dancer obsession paranoia
1923,harry potter and the deathly hallows: part 1,danielradcliffe emmawatson rupertgrint ralphfiennes helenabonhamcarter,davidyates,corruption isolation radio magic teleportation,adventure fantasy family,tt0926084,1.067,danielradcliffe emmawatson rupertgrint ralphfiennes helenabonhamcarterdavidyatesadventure fantasy familycorruption isolation radio magic teleportation
1924,despicable me,stevecarell jasonsegel russellbrand julieandrews willarnett,pierrecoffin chrisrenaud,adoptivefather orphanage life'sdream rival stealing,action animation family,tt1323594,0.832,stevecarell jasonsegel russellbrand julieandrews willarnettpierrecoffin chrisrenaudaction animation familyadoptivefather orphanage life'sdream rival stealing
1926,how to train your dragon,jaybaruchel gerardbutler craigferguson americaferrera jonahhill,deandeblois chrissanders,flying blacksmith arena island night,fantasy adventure animation family,tt0892769,0.901,jaybaruchel gerardbutler craigferguson americaferrera jonahhilldeandeblois chrissandersfantasy adventure animation familyflying blacksmith arena island night
1927,shutter island,leonardodicaprio markruffalo benkingsley emilymortimer michellewilliams,martinscorsese,basedonnovel island hurricane investigation psychiatrichospital,drama thriller mystery,tt1130884,0.9339999999999999,leonardodicaprio markruffalo benkingsley emilymortimer michellewilliamsmartinscorsesedrama thriller mysterybasedonnovel island hurricane investigation psychiatrichospital
1928,tron: legacy,garretthedlund jeffbridges oliviawilde bruceboxleitner yayadacosta,josephkosinski,artificialintelligence dystopia thriller alternative imax,adventure action sciencefiction,tt1104001,0.389,garretthedlund jeffbridges oliviawilde bruceboxleitner yayadacostajosephkosinskiadventure action sciencefictionartificialintelligence dystopia thriller alternative imax
1929,tangled,zacharylevi mandymoore donnamurphy ronperlman m.c.gainey,nathangreno byronhoward,hostage horse fairytale musical princess,animation family,tt0398286,0.839,zacharylevi mandymoore donnamurphy ronperlman m.c.gaineynathangreno byronhowardanimation familyhostage horse fairytale musical princess
1930,toy story 3,tomhanks timallen nedbeatty joancusack michaelkeaton,leeunkrich,hostage college toy barbie animation,animation family comedy,tt0435761,1.097,tomhanks timallen nedbeatty joancusack michaelkeatonleeunkrichanimation family comedyhostage college toy barbie animation
1931,salt,angelinajolie lievschreiber coreystoll chiwetelejiofor danielolbrychski,phillipnoyce,bomb usa assassination taxi spy,action thriller crime mystery,tt0944835,0.322,angelinajolie lievschreiber coreystoll chiwetelejiofor danielolbrychskiphillipnoyceaction thriller crime mysterybomb usa assassination taxi spy
1932,127 hours,jamesfranco katemara ambertamblyn clã©mencepoã©sy lizzycaplan,dannyboyle,mountains despair adventure utah alone,adventure drama thriller,tt1542344,0.5529999999999999,jamesfranco katemara ambertamblyn clã©mencepoã©sy lizzycaplandannyboyleadventure drama thrillermountains despair adventure utah alone
1933,easy a,emmastone stanleytucci amandabynes camgigandet lisakudrow,willgluck,lie highschool school teenmovie rumor,comedy,tt1282140,0.442,emmastone stanleytucci amandabynes camgigandet lisakudrowwillgluckcomedylie highschool school teenmovie rumor
1935,kick-ass,aarontaylor-johnson chloã«gracemoretz christophermintz-plasse nicolascage markstrong,matthewvaughn,flying confession crimefighter secretidentity superhero,action crime,tt1250777,0.605,aarontaylor-johnson chloã«gracemoretz christophermintz-plasse nicolascage markstrongmatthewvaughnaction crimeflying confession crimefighter secretidentity superhero
1937,prince of persia: the sands of time,jakegyllenhaal gemmaarterton benkingsley alfredmolina stevetoussaint,mikenewell,persia sandstorm brotheragainstbrother armageddon regent,adventure fantasy action romance,tt0473075,0.267,jakegyllenhaal gemmaarterton benkingsley alfredmolina stevetoussaintmikenewelladventure fantasy action romancepersia sandstorm brotheragainstbrother armageddon regent
1938,robin hood,russellcrowe cateblanchett markstrong oscarisaac lã©aseydoux,ridleyscott,robinhood archer knight sherwoodforest bowandarrow,action,tt0955308,0.241,russellcrowe cateblanchett markstrong oscarisaac lã©aseydouxridleyscottactionrobinhood archer knight sherwoodforest bowandarrow
1939,true grit,jeffbridges haileesteinfeld mattdamon joshbrolin barrypepper,ethancoen joelcoen,lossoffather fathermurder texasranger alcoholism betrayal,drama adventure western,tt1403865,0.651,jeffbridges haileesteinfeld mattdamon joshbrolin barrypepperethancoen joelcoendrama adventure westernlossoffather fathermurder texasranger alcoholism betrayal
1942,letters to juliet,amandaseyfried gaelgarcã­abernal vanessaredgrave christopheregan marciadebonis,garywinick,italy letter romanticcomedy americanabroad boyfriendgirlfriend,comedy drama romance,tt0892318,0.35900000000000004,amandaseyfried gaelgarcã­abernal vanessaredgrave christopheregan marciadebonisgarywinickcomedy drama romanceitaly letter romanticcomedy americanabroad boyfriendgirlfriend
1943,the social network,jesseeisenberg andrewgarfield justintimberlake armiehammer maxminghella,davidfincher,hacker hacking creator socialnetwork deposition,drama,tt1285016,0.677,jesseeisenberg andrewgarfield justintimberlake armiehammer maxminghelladavidfincherdramahacker hacking creator socialnetwork deposition
1944,scott pilgrim vs. the world,michaelcera maryelizabethwinstead kieranculkin chrisevans annakendrick,edgarwright,whipping hipster underagegirlfriend animatedflashback character'spointofviewcamerashot,action adventure comedy,tt0446029,0.6520000000000001,michaelcera maryelizabethwinstead kieranculkin chrisevans annakendrickedgarwrightaction adventure comedywhipping hipster underagegirlfriend animatedflashback character'spointofviewcamerashot
1948,unstoppable,denzelwashington chrispine rosariodawson ethansuplee kevincorrigan,tonyscott,runawaytrain,action thriller,tt0477080,0.262,denzelwashington chrispine rosariodawson ethansuplee kevincorrigantonyscottaction thrillerrunawaytrain
1950,dear john,amandaseyfried channingtatum henrythomas richardjenkins scottporter,lassehallstrã¶m,basedonnovel army love u.s.soldier nicholassparks,drama romance war,tt0989757,0.391,amandaseyfried channingtatum henrythomas richardjenkins scottporterlassehallstrã¶mdrama romance warbasedonnovel army love u.s.soldier nicholassparks
1951,the a-team,liamneeson bradleycooper jessicabiel sharltocopley patrickwilson,joecarnahan,warcrimes militarycourt militaryservice doublecrossed aftercreditsstinger,thriller action adventure comedy crime,tt0429493,0.257,liamneeson bradleycooper jessicabiel sharltocopley patrickwilsonjoecarnahanthriller action adventure comedy crimewarcrimes militarycourt militaryservice doublecrossed aftercreditsstinger
1952,red,brucewillis johnmalkovich helenmirren mary-louiseparker karlurban,robertschwentke,cia retirement shottodeath sniperrifle retired,action adventure comedy crime thriller,tt1245526,0.364,brucewillis johnmalkovich helenmirren mary-louiseparker karlurbanrobertschwentkeaction adventure comedy crime thrillercia retirement shottodeath sniperrifle retired
1953,machete,dannytrejo michellerodriguez jessicaalba robertdeniro lindsaylohan,robertrodriguez ethanmaniquis,illegalimmigration immigrationlaw machete politician deathofachild,action comedy thriller,tt0985694,0.238,dannytrejo michellerodriguez jessicaalba robertdeniro lindsaylohanrobertrodriguez ethanmaniquisaction comedy thrillerillegalimmigration immigrationlaw machete politician deathofachild
1954,grown ups,adamsandler salmahayek mariabello stevebuscemi mayarudolph,dennisdugan,overweight swing foot convertible arrow,comedy,tt1375670,0.255,adamsandler salmahayek mariabello stevebuscemi mayarudolphdennisdugancomedyoverweight swing foot convertible arrow
1955,the book of eli,denzelwashington garyoldman michaelgambon milakunis jenniferbeals,alberthughes allenhughes,book post-apocalyptic dystopia faith blind,action thriller sciencefiction,tt1037705,0.382,denzelwashington garyoldman michaelgambon milakunis jenniferbealsalberthughes allenhughesaction thriller sciencefictionbook post-apocalyptic dystopia faith blind
1957,the town,benaffleck rebeccahall jeremyrenner jonhamm blakelively,benaffleck,moneylaundering ambulance boston massachusetts bankmanager,crime drama thriller,tt0840361,0.561,benaffleck rebeccahall jeremyrenner jonhamm blakelivelybenaffleckcrime drama thrillermoneylaundering ambulance boston massachusetts bankmanager
1958,remember me,robertpattinson piercebrosnan emiliederavin chriscooper lenaolin,allencoulter,newyork father-sonrelationship grieving romanticdrama youngadult,drama romance,tt1403981,0.473,robertpattinson piercebrosnan emiliederavin chriscooper lenaolinallencoulterdrama romancenewyork father-sonrelationship grieving romanticdrama youngadult
1960,megamind,willferrell bradpitt tinafey jonahhill davidcross,tommcgrath,savingtheworld date prison secretidentity fish,animation action comedy family sciencefiction,tt1001526,0.45999999999999996,willferrell bradpitt tinafey jonahhill davidcrosstommcgrathanimation action comedy family sciencefictionsavingtheworld date prison secretidentity fish
1962,the other guys,willferrell markwahlberg evamendes samuell.jackson dwaynejohnson,adammckay,ceo firetruck startswithnarration shotintheshoulder zipline,action comedy crime,tt1386588,0.20700000000000002,willferrell markwahlberg evamendes samuell.jackson dwaynejohnsonadammckayaction comedy crimeceo firetruck startswithnarration shotintheshoulder zipline
1964,insidious,patrickwilson rosebyrne barbarahershey leighwhannell angussampson,jameswan,medium evilspirit housewarming aftercreditsstinger,horror thriller,tt1591095,0.46399999999999997,patrickwilson rosebyrne barbarahershey leighwhannell angussampsonjameswanhorror thrillermedium evilspirit housewarming aftercreditsstinger
1965,step up 3d,rickmalambri adamg.sevani joeslaughter sharnivinson alysonstoner,jonm.chu,musical duringcreditsstinger 3d,drama romance,tt1193631,0.39299999999999996,rickmalambri adamg.sevani joeslaughter sharnivinson alysonstonerjonm.chudrama romancemusical duringcreditsstinger 3d
1966,the king's speech,colinfirth geoffreyrush helenabonhamcarter guypearce timothyspall,tomhooper,greatbritain radio monarchy radiotransmission royalfamily,drama history,tt1504320,0.8590000000000001,colinfirth geoffreyrush helenabonhamcarter guypearce timothyspalltomhooperdrama historygreatbritain radio monarchy radiotransmission royalfamily
1967,love & other drugs,jakegyllenhaal annehathaway oliverplatt hankazaria gabrielmacht,edwardzwick,malenudity femalenudity letter love viagra,drama comedy romance,tt0758752,0.373,jakegyllenhaal annehathaway oliverplatt hankazaria gabrielmachtedwardzwickdrama comedy romancemalenudity femalenudity letter love viagra
1968,the way back,colinfarrell dejanangelov dragoè™bucur edharris jimsturgess,peterweir,escape india gulag american thug,drama adventure history,tt1023114,0.428,colinfarrell dejanangelov dragoè™bucur edharris jimsturgesspeterweirdrama adventure historyescape india gulag american thug
1969,repo men,judelaw forestwhitaker alicebraga lievschreiber caricevanhouten,miguelsapochnik,dystopia evilcorporation repoman aftercreditsstinger,action sciencefiction thriller crime,tt1053424,0.17600000000000002,judelaw forestwhitaker alicebraga lievschreiber caricevanhoutenmiguelsapochnikaction sciencefiction thriller crimedystopia evilcorporation repoman aftercreditsstinger
1970,last night,keiraknightley samworthington evamendes guillaumecanet griffindunne,massytadjedin,newyork infidelity ex-girlfriend loyalty trip,drama romance,tt1294688,0.18100000000000002,keiraknightley samworthington evamendes guillaumecanet griffindunnemassytadjedindrama romancenewyork infidelity ex-girlfriend loyalty trip
1972,undisputed iii: redemption,scottadkins mykelshannonjenkins markivanir hristoshopov markozaror,isaacflorentine,prison showdown shotgun fight prisoncell,action thriller,tt1156466,0.7200000000000001,scottadkins mykelshannonjenkins markivanir hristoshopov markozarorisaacflorentineaction thrillerprison showdown shotgun fight prisoncell
1974,blue valentine,ryangosling michellewilliams mikevogel johndoman faithwladyka,derekcianfrance,dancing nurse depression classroom bridge,drama romance,tt1120985,0.516,ryangosling michellewilliams mikevogel johndoman faithwladykaderekcianfrancedrama romancedancing nurse depression classroom bridge
1976,leap year,amyadams matthewgoode adamscott johnlithgow flaminiacinque,anandtucker,taxi bar wales marriageproposal airplane,romance comedy,tt1216492,0.26399999999999996,amyadams matthewgoode adamscott johnlithgow flaminiacinqueanandtuckerromance comedytaxi bar wales marriageproposal airplane
1977,green zone,mattdamon gregkinnear brendangleeson amyryan jasonisaacs,paulgreengrass,weaponofmassdestruction baghdad iraqiâ,action adventure drama thriller,tt0947810,0.258,mattdamon gregkinnear brendangleeson amyryan jasonisaacspaulgreengrassaction adventure drama thrillerweaponofmassdestruction baghdad iraqiâ
1980,charlie st. cloud,zacefron amandacrew kimbasinger chrismassoglia davefranco,burrsteers,brotherbrotherrelationship basedonnovel sailing ghost youngadult,drama,tt1438254,0.46799999999999997,zacefron amandacrew kimbasinger chrismassoglia davefrancoburrsteersdramabrotherbrotherrelationship basedonnovel sailing ghost youngadult
1982,the runaways,dakotafanning kristenstewart michaelshannon rileykeough stellamaeve,floriasigismondi,women 1970s publicity iron music,drama music,tt1017451,0.256,dakotafanning kristenstewart michaelshannon rileykeough stellamaevefloriasigismondidrama musicwomen 1970s publicity iron music
1985,tinker bell and the great fairy rescue,maewhitman laurenmote michaelsheen pamelaadlon lucyliu,bradleyraymond,london flying countryside magic fairy,animation adventure family fantasy,tt1216515,0.257,maewhitman laurenmote michaelsheen pamelaadlon lucyliubradleyraymondanimation adventure family fantasylondon flying countryside magic fairy
1987,the karate kid,jadensmith jackiechan tarajip.henson yurong-guang tessliu,haraldzwart,duringcreditsstinger,action adventure drama family,tt1155076,0.281,jadensmith jackiechan tarajip.henson yurong-guang tessliuharaldzwartaction adventure drama familyduringcreditsstinger
1988,due date,zachgalifianakis robertdowneyjr. michellemonaghan jamiefoxx juliettelewis,toddphillips,highway slacker hitchhiker wallet sunglasses,comedy drama,tt1231583,0.266,zachgalifianakis robertdowneyjr. michellemonaghan jamiefoxx juliettelewistoddphillipscomedy dramahighway slacker hitchhiker wallet sunglasses
